281256e0-8a60-11ed-831c-367dda7aa3e8,1,X,"[1, 1]"
281256e0-8a60-11ed-831c-367dda7aa3e8,3,X,"[2, 1]"
281256e0-8a60-11ed-831c-367dda7aa3e8,5,X,"[3, 1]"
68248898-8a60-11ed-ae90-367dda7aa3e8,1,X,"[1, 1]"
68248898-8a60-11ed-ae90-367dda7aa3e8,2,O,"[2, 3]"
68248898-8a60-11ed-ae90-367dda7aa3e8,3,X,"[2, 2]"
68248898-8a60-11ed-ae90-367dda7aa3e8,4,O,"[3, 1]"
68248898-8a60-11ed-ae90-367dda7aa3e8,5,X,"[3, 3]"
71931bda-8b26-11ed-bad9-367dda7aa3e8,1,X,"[1, 1]"
71931bda-8b26-11ed-bad9-367dda7aa3e8,2,O,"[2, 3]"
71931bda-8b26-11ed-bad9-367dda7aa3e8,3,X,"[1, 2]"
71931bda-8b26-11ed-bad9-367dda7aa3e8,4,O,"[3, 1]"
71931bda-8b26-11ed-bad9-367dda7aa3e8,5,X,"[1, 3]"
b49ad2d4-8b34-11ed-b253-367dda7aa3e8,1,X,"[1, 1]"
b49ad2d4-8b34-11ed-b253-367dda7aa3e8,2,O,"[3, 2]"
b49ad2d4-8b34-11ed-b253-367dda7aa3e8,3,X,"[2, 1]"
b49ad2d4-8b34-11ed-b253-367dda7aa3e8,4,O,"[1, 2]"
b49ad2d4-8b34-11ed-b253-367dda7aa3e8,5,X,"[3, 1]"
c1f598ba-8b34-11ed-9374-367dda7aa3e8,1,X,"[1, 1]"
c1f598ba-8b34-11ed-9374-367dda7aa3e8,2,O,"[2, 3]"
c1f598ba-8b34-11ed-9374-367dda7aa3e8,3,X,"[2, 1]"
c1f598ba-8b34-11ed-9374-367dda7aa3e8,4,O,"[3, 3]"
c1f598ba-8b34-11ed-9374-367dda7aa3e8,5,X,"[3, 1]"
cf0d74e6-8b34-11ed-b401-367dda7aa3e8,1,X,"[1, 1]"
cf0d74e6-8b34-11ed-b401-367dda7aa3e8,2,O,"[3, 2]"
cf0d74e6-8b34-11ed-b401-367dda7aa3e8,3,X,"[2, 1]"
cf0d74e6-8b34-11ed-b401-367dda7aa3e8,4,O,"[3, 3]"
cf0d74e6-8b34-11ed-b401-367dda7aa3e8,5,X,"[3, 1]"
